2017.01.23-12.17.11		Success		X=-273.114 Y=-17.039 Z=320.564		Toggle Laser Right
2017.01.23-12.17.19		Success		X=-286.451 Y=4.960 Z=320.472		Toggle Laser Left
2017.01.23-12.17.22		Failed		X=-294.956 Y=-3.527 Z=318.400		Grab Right
2017.01.23-12.17.22		Failed		X=-297.045 Y=-5.544 Z=315.812		Release Right
2017.01.23-12.17.23		Failed		X=-294.966 Y=-22.042 Z=306.530		Grab Right
2017.01.23-12.17.24		Failed		X=-294.960 Y=-22.773 Z=307.723		Release Right
2017.01.23-12.17.24		Failed		X=-294.797 Y=-22.687 Z=307.549		Grab Right
2017.01.23-12.17.24		Failed		X=-294.812 Y=-22.451 Z=308.186		Release Right
2017.01.23-12.17.25		Failed		X=-295.119 Y=-22.926 Z=312.307		Grab Right
2017.01.23-12.17.25		Failed		X=-294.953 Y=-22.866 Z=312.669		Release Right
2017.01.23-12.17.25		Failed		X=-294.941 Y=-23.134 Z=313.103		Grab Right
2017.01.23-12.17.26		Failed		X=-294.918 Y=-23.614 Z=315.134		Release Right
2017.01.23-12.17.26		Failed		X=-292.887 Y=-24.422 Z=320.182		Grab Right
2017.01.23-12.17.26		Failed		X=-290.167 Y=-25.551 Z=325.355		Release Right
2017.01.23-12.17.26		Failed		X=-288.720 Y=-27.175 Z=327.119		Grab Right
2017.01.23-12.17.27		Failed		X=-285.700 Y=-28.223 Z=328.686		Release Right
2017.01.23-12.17.27		Failed		X=-281.230 Y=-27.432 Z=332.180		Grab Right
2017.01.23-12.17.27		Failed		X=-277.408 Y=-27.293 Z=335.493		Release Right
2017.01.23-12.17.27		Failed		X=-272.741 Y=-27.992 Z=338.700		Grab Right
2017.01.23-12.17.27		Failed		X=-269.422 Y=-29.655 Z=339.875		Release Right
2017.01.23-12.17.27		Failed		X=-266.995 Y=-31.648 Z=340.762		Grab Right
2017.01.23-12.17.28		Failed		X=-265.442 Y=-31.867 Z=341.982		Release Right
2017.01.23-12.17.28		Failed		X=-264.921 Y=-31.252 Z=342.330		Grab Right
2017.01.23-12.17.28		Failed		X=-265.328 Y=-29.170 Z=341.474		Release Right
2017.01.23-12.17.28		Failed		X=-288.461 Y=-44.547 Z=330.225		Grab Left
2017.01.23-12.17.28		Failed		X=-288.309 Y=-45.750 Z=329.241		Release Left
2017.01.23-12.17.29		Failed		X=-288.092 Y=-46.366 Z=329.733		Grab Left
2017.01.23-12.17.29		Failed		X=-287.920 Y=-45.591 Z=330.366		Release Left
2017.01.23-12.17.29		Failed		X=-288.164 Y=-45.781 Z=330.607		Grab Left
2017.01.23-12.17.29		Failed		X=-269.206 Y=-26.843 Z=339.464		Grab Right
2017.01.23-12.17.29		Failed		X=-289.025 Y=-46.696 Z=332.672		Release Left
2017.01.23-12.17.29		Failed		X=-269.002 Y=-25.423 Z=341.316		Release Right
2017.01.23-12.17.29		Failed		X=-290.641 Y=-52.443 Z=339.383		Grab Left
2017.01.23-12.17.29		Failed		X=-268.855 Y=-20.804 Z=349.558		Grab Right
2017.01.23-12.17.29		Failed		X=-287.414 Y=-57.215 Z=342.237		Release Left
2017.01.23-12.17.30		Failed		X=-267.754 Y=-21.187 Z=352.547		Release Right
2017.01.23-12.17.30		Failed		X=-284.776 Y=-57.999 Z=345.256		Grab Left
2017.01.23-12.17.30		Failed		X=-266.424 Y=-20.847 Z=356.272		Grab Right
2017.01.23-12.17.30		Failed		X=-284.638 Y=-59.229 Z=345.869		Release Left
2017.01.23-12.17.30		Failed		X=-266.608 Y=-20.875 Z=356.592		Release Right
2017.01.23-12.17.30		Failed		X=-284.845 Y=-60.155 Z=345.470		Grab Left
2017.01.23-12.17.30		Failed		X=-266.274 Y=-20.421 Z=356.512		Grab Right
2017.01.23-12.17.30		Failed		X=-284.593 Y=-60.863 Z=345.630		Release Left
2017.01.23-12.17.30		Failed		X=-266.802 Y=-20.997 Z=356.055		Release Right
2017.01.23-12.17.30		Failed		X=-284.496 Y=-61.711 Z=346.198		Grab Left
2017.01.23-12.17.30		Failed		X=-267.013 Y=-21.335 Z=356.128		Grab Right
2017.01.23-12.17.30		Failed		X=-284.773 Y=-62.284 Z=346.332		Release Left
2017.01.23-12.17.30		Failed		X=-266.798 Y=-21.421 Z=356.301		Release Right
2017.01.23-12.17.31		Failed		X=-266.573 Y=-21.347 Z=356.135		Grab Right
2017.01.23-12.17.31		Failed		X=-284.816 Y=-62.150 Z=345.548		Grab Left
2017.01.23-12.17.31		Failed		X=-284.962 Y=-61.901 Z=344.457		Release Left
2017.01.23-12.17.31		Failed		X=-265.948 Y=-20.991 Z=355.615		Release Right
2017.01.23-12.17.31		Failed		X=-286.100 Y=-62.474 Z=343.360		Grab Left
2017.01.23-12.17.31		Failed		X=-266.057 Y=-19.294 Z=354.235		Grab Right
2017.01.23-12.17.31		Failed		X=-290.602 Y=-59.819 Z=341.236		Release Left
2017.01.23-12.17.31		Failed		X=-269.211 Y=-11.279 Z=347.110		Release Right
2017.01.23-12.17.31		Failed		X=-272.575 Y=-1.551 Z=337.658		Grab Right
2017.01.23-12.17.31		Failed		X=-293.640 Y=-47.510 Z=332.909		Grab Left
2017.01.23-12.17.31		Failed		X=-292.706 Y=-43.519 Z=329.780		Release Left
2017.01.23-12.17.31		Failed		X=-278.371 Y=-4.012 Z=333.924		Release Right
2017.01.23-12.17.31		Failed		X=-283.536 Y=-10.459 Z=330.442		Grab Right
2017.01.23-12.17.31		Failed		X=-300.913 Y=-47.041 Z=325.290		Grab Left
2017.01.23-12.17.32		Failed		X=-287.213 Y=-21.476 Z=328.852		Release Right
2017.01.23-12.17.32		Failed		X=-310.796 Y=-51.330 Z=322.934		Release Left
2017.01.23-12.17.32		Failed		X=-289.242 Y=-25.053 Z=327.016		Grab Right
2017.01.23-12.17.32		Failed		X=-313.126 Y=-51.395 Z=321.382		Grab Left
2017.01.23-12.17.32		Failed		X=-291.584 Y=-27.534 Z=323.764		Release Right
2017.01.23-12.17.32		Failed		X=-315.806 Y=-50.509 Z=319.926		Release Left
2017.01.23-12.17.33		Failed		X=-225.279 Y=-59.949 Z=317.382		Grab Right
2017.01.23-12.17.33		Failed		X=-227.594 Y=-53.950 Z=323.810		Release Right
2017.01.23-12.17.33		Failed		X=-225.694 Y=-62.531 Z=316.191		Grab Right
2017.01.23-12.17.34		Failed		X=-229.314 Y=-54.475 Z=321.562		Release Right
2017.01.23-12.17.34		Success		X=-245.988 Y=-38.007 Z=324.164		Toggle Laser Right
2017.01.23-12.17.35		Failed		X=-223.570 Y=-59.274 Z=316.929		Grab Right
2017.01.23-12.17.35		Failed		X=-225.590 Y=-56.780 Z=324.685		Release Right
2017.01.23-12.17.35		Failed		X=-224.663 Y=-61.404 Z=317.953		Grab Right
