2017.01.23-11.11.59		Success		X=-290.431 Y=-50.287 Z=312.586		Toggle Laser Right
2017.01.23-11.12.05		Failed		X=-321.640 Y=-57.691 Z=328.199		Grab Right
2017.01.23-11.12.06		Failed		X=-323.432 Y=-57.711 Z=327.387		Release Right
2017.01.23-11.12.06		Failed		X=-323.972 Y=-57.347 Z=327.324		Grab Right
2017.01.23-11.12.07		Failed		X=-324.080 Y=-57.224 Z=327.509		Release Right
2017.01.23-11.12.07		Failed		X=-324.224 Y=-57.466 Z=327.209		Grab Right
2017.01.23-11.12.07		Failed		X=-323.594 Y=-58.449 Z=327.448		Release Right
2017.01.23-11.12.07		Failed		X=-323.420 Y=-57.270 Z=327.378		Grab Right
2017.01.23-11.12.07		Failed		X=-323.119 Y=-56.699 Z=326.903		Release Right
2017.01.23-11.12.08		Failed		X=-323.018 Y=-56.682 Z=325.698		Grab Right
2017.01.23-11.12.08		Failed		X=-323.078 Y=-56.998 Z=324.626		Release Right
2017.01.23-11.12.08		Failed		X=-323.094 Y=-57.112 Z=325.135		Grab Right
2017.01.23-11.12.08		Failed		X=-323.086 Y=-56.882 Z=326.166		Release Right
2017.01.23-11.12.08		Failed		X=-323.005 Y=-56.390 Z=326.196		Grab Right
2017.01.23-11.12.08		Failed		X=-323.047 Y=-55.259 Z=326.362		Release Right
2017.01.23-11.12.08		Failed		X=-323.019 Y=-55.113 Z=326.434		Grab Right
2017.01.23-11.12.08		Failed		X=-323.060 Y=-54.502 Z=326.413		Release Right
2017.01.23-11.12.08		Failed		X=-322.620 Y=-54.500 Z=326.077		Grab Right
2017.01.23-11.12.09		Failed		X=-320.112 Y=-55.277 Z=325.308		Release Right
2017.01.23-11.12.09		Failed		X=-318.465 Y=-53.903 Z=324.444		Grab Right
2017.01.23-11.12.09		Failed		X=-317.547 Y=-51.512 Z=324.560		Release Right
2017.01.23-11.12.09		Failed		X=-317.431 Y=-51.269 Z=324.511		Grab Right
